State,Tested,Infected,Deaths,Population,Pop Density,Gini,ICU Beds,Income,GDP,Unemployment,Sex Ratio,Smoking Rate,Flu Deaths,Respiratory Deaths,Physicians,Hospitals,Health Spending,Pollution,Med-Large Airports,Temperature,Urban,Age 0-25,Age 26-54,Age 55+,School Closure Date
Alaska,3334,114,3.0,734002,1.2863,0.4081,119,59687,73205,5.8,1.0546875,21.0,12.1,35.3,1900,21,11064,6.4,1.0,26.6,66.0,0.36,0.39,0.25,03/19/20
Alabama,6531,831,6.0,4908621,96.9221,0.4847,1533,42334,45219,2.7,0.9301445145532261,20.9,21.4,58.0,12205,101,7281,8.1,1.0,62.8,59.0,0.32999999999999996,0.37,0.31000000000000005,03/16/20
Arkansas,3536,449,6.0,3038999,58.403,0.4719,732,42566,42454,3.5,0.9566299085529855,22.3,18.0,61.7,7150,88,7408,7.1,0.0,60.4,56.2,0.33999999999999997,0.37,0.30000000000000004,03/17/20
Arizona,1303,912,16.0,7378494,64.955,0.4713,1559,43650,48055,4.5,0.966964722118398,15.6,12.4,41.2,17806,83,6452,9.7,1.0,60.3,89.8,0.32999999999999996,0.36,0.3,03/16/20
California,89600,4643,101.0,39937489,256.3727,0.4899,7338,62586,74205,3.9,0.9751132606832374,11.3,15.6,30.9,112906,359,7549,12.8,9.0,59.4,95.0,0.32999999999999996,0.4,0.26,03/19/20
Colorado,14470,2307,47.0,5845526,56.4011,0.4586,1597,56846,63882,2.5,0.9948495032144945,14.6,9.7,44.0,14509,89,6804,6.7,1.0,45.1,86.2,0.32999999999999996,0.4,0.27,03/23/20
Connecticut,11900,1993,34.0,3563077,735.8689,0.4945,674,74561,76342,3.8,0.9471062353072875,12.7,14.8,28.9,15605,32,9859,7.2,1.0,49.0,88.0,0.3,0.38,0.32,03/17/20
District of Columbia,3085,401,9.0,720687,11814.541,0.542,314,47285,200277,5.2,0.8885697874784606,14.3,11.2,19.6,7346,10,11944,9.8,0.0,54.65,100.0,0.30000000000000004,0.48,0.22,03/16/20
Delaware,268,232,6.0,982895,504.3073,0.4522,186,51449,77253,3.9,0.9261939218523878,17.0,13.1,40.4,3148,7,10254,8.3,0.0,55.3,83.3,0.3,0.37,0.33,03/16/20
Florida,55193,5473,63.0,21992985,410.1256,0.4852,5604,49417,48318,2.8,0.9422130992470392,16.1,9.6,37.0,56499,217,8076,7.4,7.0,70.7,91.2,0.29,0.37,0.35,03/16/20
Georgia,12564,2683,83.0,10736059,186.6719,0.4813,2508,45745,55832,3.1,0.9276477422058012,17.5,14.5,45.7,25312,145,6587,8.3,1.0,63.5,75.1,0.35,0.39,0.26,03/18/20
Hawaii,5800,175,0.0,1412687,219.9419,0.442,201,54565,64096,2.7,0.9545978668204094,12.8,24.5,19.6,3660,22,7299,5.4,2.0,70.0,91.9,0.30000000000000004,0.37,0.32,03/23/20
Iowa,5349,336,4.0,3179849,56.9284,0.4451,545,48823,59977,2.8,0.972411113269866,17.1,15.7,43.8,8511,118,8200,7.1,0.0,47.8,64.0,0.33999999999999997,0.36,0.30000000000000004,
Idaho,4706,310,6.0,1826156,22.0969,0.4503,314,43155,43430,2.7,1.002976899261729,14.3,11.9,44.1,3012,45,6927,6.8,0.0,44.4,70.6,0.36,0.36,0.28,03/23/20
Illinois,27762,4596,65.0,12659682,228.0243,0.481,3144,56933,67268,3.4,0.955037546933667,15.5,16.3,36.2,43377,187,8262,9.3,2.0,51.8,88.5,0.32999999999999996,0.38,0.28,03/17/20
Indiana,11658,1786,35.0,6745354,188.281,0.4527,1861,46646,55172,3.1,0.960335042942551,21.8,14.0,57.2,16816,132,8300,8.4,1.0,51.7,72.4,0.33999999999999997,0.37,0.29000000000000004,03/19/20
Kansas,4513,319,6.0,2910357,35.5968,0.455,767,50155,56334,3.1,0.9819217782779966,17.4,17.1,50.4,7926,139,7651,7.0,0.0,54.3,74.2,0.35,0.36,0.29000000000000004,03/18/20
Kentucky,6018,439,9.0,4499692,113.9566,0.4813,1392,41779,46898,4.2,0.963484682713348,24.6,18.3,62.1,11937,105,8004,8.1,1.0,55.6,58.4,0.32999999999999996,0.38,0.30000000000000004,03/16/20
Louisiana,27871,3540,151.0,4645184,107.5175,0.499,1289,45542,53589,5.2,0.9312808300731417,23.1,15.6,43.1,13821,158,7815,7.9,1.0,66.4,73.2,0.33999999999999997,0.37,0.28,03/16/20
Massachusetts,39066,4955,48.0,6976597,894.4355,0.4786,1326,70073,82480,2.8,0.9436615583348013,13.7,15.8,30.9,36506,75,10559,6.3,1.0,47.9,92.0,0.3,0.39,0.31000000000000005,03/17/20
Maryland,1507,1413,15.0,6083116,626.6731,0.4499,1134,62914,68573,3.3,0.9293782536096651,13.8,13.6,31.0,24676,50,8602,7.7,1.0,54.2,87.2,0.31,0.39,0.29000000000000004,03/16/20
Maine,3647,253,1.0,1345790,43.6336,0.4519,256,48241,47969,3.2,0.9578376750489385,17.3,15.3,45.6,4721,34,9531,5.9,0.0,41.0,38.7,0.26,0.37,0.37,
Michigan,15613,5486,132.0,10045029,177.6655,0.4695,2423,47582,53209,3.6,0.9588497269411361,19.3,14.5,44.1,38819,144,8055,8.0,1.0,44.4,74.6,0.32,0.37,0.31000000000000005,03/16/20
Minnesota,17657,503,9.0,5700671,71.5922,0.4496,1171,56374,64675,3.1,0.983828082316518,14.5,10.0,34.0,18171,127,8871,6.6,1.0,41.2,73.3,0.32,0.38,0.30000000000000004,03/18/20
Missouri,1272,903,12.0,6169270,89.7453,0.4646,1888,46635,51699,3.5,0.9517123174791522,20.8,18.7,50.2,20275,122,8107,7.5,2.0,54.6,70.4,0.32999999999999996,0.37,0.31000000000000005,03/19/20
Mississippi,2776,847,16.0,2989260,63.7056,0.4828,824,37994,37948,5.4,0.9240261472785486,22.2,26.1,59.9,6597,99,7646,7.7,0.0,63.4,49.4,0.35,0.36,0.29000000000000004,03/20/20
Montana,4132,171,2.0,1086759,7.4668,0.4667,165,47120,46609,3.5,0.983896003104385,17.2,10.7,47.0,2326,56,8221,6.6,0.0,42.7,55.9,0.31,0.35,0.33999999999999997,03/16/20
North Carolina,20864,1307,6.0,10611862,218.2702,0.478,2227,45834,54441,3.6,0.928473124115606,17.2,16.9,42.6,28379,112,7264,7.2,2.0,59.0,66.1,0.32,0.38,0.29000000000000004,03/16/20
North Dakota,3724,98,1.0,761723,11.0393,0.4533,238,54306,72597,2.2,1.0416197975253094,18.3,15.6,34.9,2015,39,9851,4.6,0.0,40.4,59.9,0.35,0.37,0.28,03/16/20
