Location,Total Hospitals
United States,5198
Alabama,101
Alaska,21
Arizona,83
Arkansas,88
California,359
Colorado,89
Connecticut,32
Delaware,7
District of Columbia,10
Florida,217
Georgia,145
Hawaii,22
Idaho,45
Illinois,187
Indiana,132
Iowa,118
Kansas,139
Kentucky,105
Louisiana,158
Maine,34
Maryland,50
Massachusetts,75
Michigan,144
Minnesota,127
Mississippi,99
Missouri,122
Montana,56
Nebraska,93
Nevada,44
New Hampshire,28
New Jersey,82
New Mexico,41
New York,166
North Carolina,112
North Dakota,39
Ohio,194
Oklahoma,125
Oregon,61
Pennsylvania,199
Rhode Island,11
South Carolina,69
South Dakota,57
Tennessee,115
Texas,523
Utah,54
Vermont,14
Virginia,96
Washington,92
West Virginia,56
Wisconsin,133
Wyoming,29
