Location,Male,Female
Alabama,2284900,2456500
Alaska,364500,345600
Arizona,3363200,3478100
Arkansas,1422700,1487200
California,19113000,19600800
Colorado,2723500,2737600
Connecticut,1692100,1786600
Delaware,448000,483700
District of Columbia,309400,348200
Florida,9960700,10571600
Georgia,4870800,5250700
Hawaii,662300,693800
Idaho,842300,839800
Illinois,6104600,6392000
Indiana,3164400,3295100
Iowa,1501500,1544100
Kansas,1395900,1421600
Kentucky,2113500,2193600
Louisiana,2190000,2351600
Maine,636100,664100
Maryland,2838600,3054300
Massachusetts,3214300,3406200
Michigan,4758100,4962300
Minnesota,2701100,2745500
Mississippi,1385300,1499200
Missouri,2887400,3033900
Montana,507100,515400
Nebraska,926100,933200
Nevada,1464500,1482100
New Hampshire,643200,653700
New Jersey,4291100,4532700
New Mexico,1004700,1033400
New York,9346600,9969100
North Carolina,4789900,5158900
North Dakota,370400,355600
Ohio,5517500,5806100
Oklahoma,1860500,1943200
Oregon,2007100,2055900
Pennsylvania,6049400,6339700
Rhode Island,493000,522900
South Carolina,2335100,2529500
South Dakota,419800,417200
Tennessee,3164800,3373400
Texas,13597400,14023800
Utah,1529300,1518100
Vermont,295800,304400
Virginia,3937000,4203700
Washington,3589700,3650100
West Virginia,863400,898700
Wisconsin,2792400,2850600
Wyoming,286600,276700
