State,GDP Per Capita
District of Columbia,200277
New York,85746
Massachusetts,82480
Delaware,77253
Connecticut,76342
California,74205
Washington,74182
Alaska,73205
North Dakota,72597
Wyoming,69900
New Jersey,69378
Maryland,68573
Illinois,67268
Minnesota,64675
Hawaii,64096
Nebraska,63942
Colorado,63882
New Hampshire,63067
Virginia,62563
United States,62390
Pennsylvania,61594
Texas,61167
Iowa,59977
South Dakota,58624
Rhode Island,57852
Wisconsin,57720
Ohio,57492
Oregon,56956
Kansas,56334
Georgia,55832
Utah,55550
Nevada,55269
Indiana,55172
North Carolina,54441
Tennessee,53933
Louisiana,53589
Vermont,53523
Michigan,53209
Missouri,51699
Oklahoma,50613
Florida,48318
Arizona,48055
Maine,47969
New Mexico,46954
Kentucky,46898
Montana,46609
South Carolina,45280
Alabama,45219
Idaho,43430
West Virginia,43053
Arkansas,42454
Mississippi,37948
