State,Unemployment
North Dakota,2.2
Vermont,2.4
Colorado,2.5
South Carolina,2.5
Utah,2.5
New Hampshire,2.6
Virginia,2.6
Alabama,2.7
Hawaii,2.7
Idaho,2.7
Florida,2.8
Iowa,2.8
Massachusetts,2.8
Nebraska,2.9
Georgia,3.1
Indiana,3.1
Kansas,3.1
Minnesota,3.1
Maine,3.2
Oklahoma,3.2
Maryland,3.3
Oregon,3.3
South Dakota,3.3
Illinois,3.4
Rhode Island,3.4
Tennessee,3.4
Arkansas,3.5
Missouri,3.5
Montana,3.5
Texas,3.5
Wisconsin,3.5
Michigan,3.6
Nevada,3.6
North Carolina,3.6
New York,3.7
Wyoming,3.7
Connecticut,3.8
New Jersey,3.8
Washington,3.8
California,3.9
Delaware,3.9
Ohio,4.1
Kentucky,4.2
Arizona,4.5
Pennsylvania,4.7
New Mexico,4.8
West Virginia,4.9
District of Columbia,5.2
Louisiana,5.2
Mississippi,5.4
Alaska,5.8
